1	H0001	אָב	H:N-M	father	1) father of an individual<br>2) of God as father of his people<br>3) head or founder of a household, group, family, or clan<br>4) ancestor<br>4a) grandfather, forefathers - of person<br>4b) of people<br>5) originator or patron of a class, profession, or art<br>6) of producer, generator (fig.)<br>7) of benevolence and protection (fig.)<br>8) term of respect and honour<br>9) ruler or chief (spec.)	1	
2	H0002	אַב	A:N-M	father	1) father	2	
3	H0003	אֵב	H:N-M	greenery	1) freshness, fresh green, green shoots, or greenery	3	
4	H0004	אֵב	A:N-M	fruit	1) fruit, fresh, young, greening	4	
5	H0005	אֲבַגְתָא	N:N-M-P	Abagtha	"Abagtha = ""God-given""<br>1) one of the seven eunuchs in the Persian court of Ahasuerus"	5	
6	H0006	אָבַד	H:V	to perish	1) perish, vanish, go astray, be destroyed<br>1a) (Qal)<br>1a1) perish, die, be exterminated<br>1a2) perish, vanish (fig.)<br>1a3) be lost, strayed<br>1b) (Piel)<br>1b1) to destroy, kill, cause to perish, to give up (as lost), exterminate<br>1b2) to blot out, do away with, cause to vanish, (fig.)<br>1b3) cause to stray, lose<br>1c) (Hiphil)<br>1c1) to destroy, put to death<br>1c1a) of divine judgment<br>1c2) object name of kings (fig.)	6	
7	H0007	אֲבַד	A:V	to destroy	1) to perish, vanish<br>1a) (P'al) shall perish<br>1b) (Aphel) destroy<br>1c) (Hophal) be destroyed	7	
8	H0008	אֹבֵד	H:N-M	destruction	1) destruction	8	
9	H0009	אֲבֵדָה	H:N-F	something lost	1) a lost thing, something lost	9	
10	H0010	אֲבַדּוֹן	H:N-F	destruction	1)  a perishing	10	
11	H0011	אֲבַדּוֹן	N:N--L	Abaddon	1) place of destruction, destruction, ruin, Abaddon	11	
12	H0012	אַבְדָ֑ן	H:N-M	destruction	1) destruction	12	
13	H0013	אׇבְדַן	H:N-M	destruction	1) destruction	13	
14	H0014	אָבָה	H:V	be willing	1) to be willing, consent<br>1a) (Qal)<br>1a1) to be willing<br>1a2) to consent, yield to, accept<br>1a3) to desire	14	
15	H0015	בָּיַי	H:N-F	oh that!	1) entreat, longing, desire	15	
16	H0016	אֵ֫בֶה	H:N-M	papyrus	1) reed, papyrus	16	
17	H0017	אֲבוֹי	H:INJ	woe!	1) Oh!, Woe!, (exclamation of pain - indicates desire or uneasiness)	17	
18	H0018	אֵבוּס	H:N-M	crib	1) crib, manger, feeding trough	18	
19	H0019	אִבְחָה	H:N-F	slaughter	1) slaughter, flesh, meat, slaughtered meat	19	
20	H0020	אֲבַטִּחִים	H:N-M	melon	1) watermelon, Egyptian fruit	20	
21	H0021	אֲבִי	N:N-F-P	Abi	"Abi = ""my father""<br>1) mother of Hezekiah (cf H029)"	21	
22	H0022	אֲבִיאֵל	N:N-M-P	Abiel	"Abiel = ""El (God) is (my) father""<br>1) Saul's grandfather"	22	
23	H0023	אֲבִיאָסָף	N:N-M-P	Abiasaph	"Abiasaph = ""my father has gathered""<br>1) son (descendant) of Korah"	23	
24	H0024	אָבִיב	N:N-M-T + H:N-M	Abib	1) fresh, young barley ears, barley<br>2) month of ear-forming, of greening of crop, of growing green Abib, month of exodus and passover (March or April)	24	
25	H0025	אֲבִי גִבְעוֹן	N:N-M-P + N:N--L	Abi-gibeon	"Abi Gibon = ""father of Gibeon""<br>1) site of great Bamah, location of the tabernacle of the Lord in the high place"	25	
26	H0026	אֲבִיגַ֫יִל, אֲבִיגַ֫ל	N:N-F-P	Abigail	"Abigail = ""my father is joy""<br>1) wife of Nabal, then of David<br>2) sister of David"	26	
27	H0027	אֲבִידָן	N:N-M-P	Abidan	"Abidan = ""my father is judge""<br>1) a prince (ruler) of Benjamin"	27	
