number	book	chapter	verse	trchapter	trverse	trtext
1	1	1	1	1	1	In the beginning God created the heavens and the earth.
2	1	1	2	1	2	Now the earth was formless and void, and darkness was over the surface of the deep. And the Spirit of God was hovering over the surface of the waters.
3	1	1	3	1	3	And God said, “Let there be light,” and there was light.
4	1	1	4	1	4	And God saw that the light was good, and He separated the light from the darkness.
5	1	1	5	1	5	God called the light “day,” and the darkness He called “night.” And there was evening, and there was morning—the first day.
6	1	1	6	1	6	And God said, “Let there be an expanse between the waters, to separate the waters from the waters.”
7	1	1	7	1	7	So God made the expanse and separated the waters beneath it from the waters above. And it was so.
8	1	1	8	1	8	God called the expanse “sky.” And there was evening, and there was morning—the second day.
9	1	1	9	1	9	And God said, “Let the waters under the sky be gathered into one place, so that the dry land may appear.” And it was so.
10	1	1	10	1	10	God called the dry land “earth,” and the gathering of waters He called “seas.” And God saw that it was good.
11	1	1	11	1	11	Then God said, “Let the earth bring forth vegetation: seed-bearing plants and fruit trees, each bearing fruit with seed according to its kind.” And it was so.
12	1	1	12	1	12	The earth produced vegetation: seed-bearing plants according to their kinds and trees bearing fruit with seed according to their kinds. And God saw that it was good.
13	1	1	13	1	13	And there was evening, and there was morning—the third day.
14	1	1	14	1	14	And God said, “Let there be lights in the expanse of the sky to distinguish between the day and the night, and let them be signs to mark the seasons and days and years.
15	1	1	15	1	15	And let them serve as lights in the expanse of the sky to shine upon the earth.” And it was so.
16	1	1	16	1	16	God made two great lights: the greater light to rule the day and the lesser light to rule the night. And He made the stars as well.
17	1	1	17	1	17	God set these lights in the expanse of the sky to shine upon the earth,
18	1	1	18	1	18	to preside over the day and the night, and to separate the light from the darkness. And God saw that it was good.
19	1	1	19	1	19	And there was evening, and there was morning—the fourth day.
20	1	1	20	1	20	And God said, “Let the waters teem with living creatures, and let birds fly above the earth in the open expanse of the sky.”
21	1	1	21	1	21	So God created the great sea creatures and every living thing that moves, with which the waters teemed according to their kinds, and every bird of flight after its kind. And God saw that it was good.
22	1	1	22	1	22	Then God blessed them and said, “Be fruitful and multiply and fill the waters of the seas, and let birds multiply on the earth.”
23	1	1	23	1	23	And there was evening, and there was morning—the fifth day.
24	1	1	24	1	24	And God said, “Let the earth bring forth living creatures according to their kinds: livestock, land crawlers, and beasts of the earth according to their kinds.” And it was so.
25	1	1	25	1	25	God made the beasts of the earth according to their kinds, the livestock according to their kinds, and everything that crawls upon the earth according to its kind. And God saw that it was good.
26	1	1	26	1	26	Then God said, “Let Us make man in Our image, after Our likeness, to rule over the fish of the sea and the birds of the air, over the livestock, and over all the earth itself and every creature that crawls upon it.”
27	1	1	27	1	27	So God created man in His own image; in the image of God He created him; male and female He created them.
28	1	1	28	1	28	God blessed them and said to them, “Be fruitful and multiply, and fill the earth and subdue it; rule over the fish of the sea and the birds of the air and every creature that crawls upon the earth.”
29	1	1	29	1	29	Then God said, “Behold, I have given you every seed-bearing plant on the face of all the earth, and every tree whose fruit contains seed. They will be yours for food.
30	1	1	30	1	30	And to every beast of the earth and every bird of the air and every creature that crawls upon the earth—everything that has the breath of life in it—I have given every green plant for food.” And it was so.
31	1	1	31	1	31	And God looked upon all that He had made, and indeed, it was very good. And there was evening, and there was morning—the sixth day.
32	1	2	1	2	1	Thus the heavens and the earth were completed in all their vast array.
33	1	2	2	2	2	And by the seventh day God had finished the work He had been doing; so on that day He rested from all His work.
34	1	2	3	2	3	Then God blessed the seventh day and sanctified it, because on that day He rested from all the work of creation that He had accomplished.
35	1	2	4	2	4	This is the account of the heavens and the earth when they were created, in the day that the LORD God made them.
36	1	2	5	2	5	Now no shrub of the field had yet appeared on the earth, nor had any plant of the field sprouted; for the LORD God had not yet sent rain upon the earth, and there was no man to cultivate the ground.
37	1	2	6	2	6	But springs welled up from the earth and watered the whole surface of the ground.
38	1	2	7	2	7	Then the LORD God formed man from the dust of the ground and breathed the breath of life into his nostrils, and the man became a living being.
39	1	2	8	2	8	And the LORD God planted a garden in Eden, in the east, where He placed the man He had formed.
40	1	2	9	2	9	Out of the ground the LORD God gave growth to every tree that is pleasing to the eye and good for food. And in the middle of the garden were the tree of life and the tree of the knowledge of good and evil.
41	1	2	10	2	10	Now a river flowed out of Eden to water the garden, and from there it branched into four headwaters:
