full,short
singular,"<span title=""singular"">sg</span>"
plural,"<span title=""plural"">pl</span>"
dual,"<span title=""dual"">2</span>"
masculine,"<span title=""masculine"">m</span>"
feminine,"<span title=""feminine"">f</span>"
unknown, 
pronominal suffix,"<span title=""pronominal suffix""> + </span>"
first person,"<span title=""first person"">I</span>"
second person,"<span title=""second person"">II</span>"
third person,"<span title=""third person"">III</span>"
absolute,"<span title=""absolute"">abs</span>"
construct,"<span title=""construct"">con</span>"
noun,"<span title=""noun""><i>n</i></span>"
verb,"<span title=""verb""><i>v</i></span>"
adjective,"<span title=""adjective""><i>a</i></span>"
proper noun,"<span title=""proper noun""><i>pn</i></span>"
article,"<span title=""article""><i>art</i></span>"
interrogative pronoun,"<span title=""interrogative pronoun""><i>pro</i><sup>?</sup></span>"
personal pronoun,"<span title=""personal pronoun""><i>pro</i><sup>p</sup></span>"
demonstrative pronoun,"<span title=""demonstrative pronoun""><i>pro</i><sup>d</sup></span>"
preposition,"<span title=""preposition""><i>prep</i></span>"
adverb,"<span title=""adverb""><i>adv</i></span>"
participle,"<span title=""participle""><i>part</i></span>"
participle (passive),"<span title=""participle (passive)""><i>ppart</i></span>"
interrogative particle,"<span title=""interrogative particle""><i>ptcl</i><sup>?</sup></span>"
negative particle,"<span title=""negative particle""><i>ptcl</i><sup>—</sup></span>"
interjection,"<span title=""interjection""><i>intj</i></span>"
conjunction,"<span title=""conjunction""><i>cnj</i></span>"
imperfect,"<span title=""imperfect"">imperf</span>"
perfect,"<span title=""perfect"">perf</span>"
wayyiqtol,"<span title=""wayyiqtol"">wy</span>"
infinitive (construct),"<span title=""infinitive (construct)"">inf<sup>con</sup></span>"
infinitive (absolute),"<span title=""infinitive (absolute)"">inf<sup>abs</sup></span>"
imperative,"<span title=""imperative"">imp!</span>"
qal,"<span title=""qal"">√qal</span>"
pi“el,"<span title=""pi“el"">√pi</span>"
hif‘il,"<span title=""hif‘il"">√hi</span>"
nif‘al,"<span title=""nif‘al"">√ni</span>"
hitpa“el,"<span title=""hitpa“el"">√hit</span>"
pe‘al,"<span title=""pe‘al"">√pe</span>"
hof‘al,"<span title=""hof‘al"">√hof</span>"
haf‘el,"<span title=""haf‘el"">√haf</span>"
pu“al,"<span title=""pu“al"">√pu</span>"
pa“el,"<span title=""pa“el"">√pa</span>"
hishtaf‘al,"<span title=""hishtaf‘al"">√hišt</span>"
hitpe‘el,"<span title=""hitpe‘el"">√hitpe</span>"
shaf‘el,"<span title=""shaf‘el"">√šaf</span>"
hitpa“al,"<span title=""hitpa“al"">√hitpa</span>"
po“el,"<span title=""po“el"">√po</span>"
tif‘al,"<span title=""tif‘al"">√tif</span>"
etpa“al,"<span title=""etpa“al"">√etpa</span>"
pe‘il,"<span title=""pe‘il"">√pei</span>"
af‘el,"<span title=""af‘el"">√af</span>"
hitpo“el,"<span title=""hitpo“el"">√hitpo</span>"
hotpa“al,"<span title=""hotpa“al"">√hotpa</span>"
po“al,"<span title=""po“al"">√poa</span>"
passiveqal,"<span title=""passiveqal"">√pass. qal</span>"
etpe‘el,"<span title=""etpe‘el"">√etpe</span>"
nitpa“el,"<span title=""nitpa“el"">√nit</span>"
emphatic,"<span title=""emphatic"">emph</span>"
