index	transLemma	hebLemma	internalOrd	subheader	header	headerNumber	StrongNo
1	eat	אָכַל	1	Verbs occurring 500-5000 times	Verbs	1	398
2	say	אָמַר	2	Verbs occurring 500-5000 times	Verbs	1	559
3	enter, come	בּוֹא	3	Verbs occurring 500-5000 times	Verbs	1	935
4	speak (Pi.)	דִּבֶּר	4	Verbs occurring 500-5000 times	Verbs	1	1696
5	be, become	הָיָה	5	Verbs occurring 500-5000 times	Verbs	1	1961
6	go, walk	הָלַך	6	Verbs occurring 500-5000 times	Verbs	1	1980
7	know	יָדַע	7	Verbs occurring 500-5000 times	Verbs	1	3045
8	bring forth	יָלַד	8	Verbs occurring 500-5000 times	Verbs	1	3205
9	go out	יָצָא	9	Verbs occurring 500-5000 times	Verbs	1	3318
10	sit, dwell	יָשַׁב	10	Verbs occurring 500-5000 times	Verbs	1	3427
11	take, seize	לָקַח	11	Verbs occurring 500-5000 times	Verbs	1	3947
12	die	מוּת	12	Verbs occurring 500-5000 times	Verbs	1	4191
13	lift up, carry	נָשָׂא	13	Verbs occurring 500-5000 times	Verbs	1	5375
14	give	נָתַן	14	Verbs occurring 500-5000 times	Verbs	1	5414
15	go up	עָלָה	15	Verbs occurring 500-5000 times	Verbs	1	5927
16	do, make	עָשָׂה	16	Verbs occurring 500-5000 times	Verbs	1	6213
17	call, meet	קָרָא	17	Verbs occurring 500-5000 times	Verbs	1	7121
18	see	רָאָה	18	Verbs occurring 500-5000 times	Verbs	1	7200
19	set, place	שִׂים	19	Verbs occurring 500-5000 times	Verbs	1	7760
20	turn, return	שׁוּב	20	Verbs occurring 500-5000 times	Verbs	1	7725
21	stretch out, send	שָׁלַח	21	Verbs occurring 500-5000 times	Verbs	1	7971
22	hear, listen to	שָׁמַע	22	Verbs occurring 500-5000 times	Verbs	1	8085
23	love	אָהַב	23	Verbs occurring 200-500 times	Verbs	2	157
24	gather	אָסַף	24	Verbs occurring 200-500 times	Verbs	2	622
25	build	בָּנָה	25	Verbs occurring 200-500 times	Verbs	2	1129
26	Seek (Pi.)	בִּקֵּשׁ	26	Verbs occurring 200-500 times	Verbs	2	1245
27	Bless (Pi.)	בֵּרַך	27	Verbs occurring 200-500 times	Verbs	2	1288
28	remember	זָכַר	28	Verbs occurring 200-500 times	Verbs	2	2142
29	Be strong	חָזַק	29	Verbs occurring 200-500 times	Verbs	2	2388
30	sin	חָטָא	30	Verbs occurring 200-500 times	Verbs	2	2398
31	Be alive	חָיָה	31	Verbs occurring 200-500 times	Verbs	2	2421
32	Be able	יָכֹל	32	Verbs occurring 200-500 times	Verbs	2	3201
33	add	יָסַף	33	Verbs occurring 200-500 times	Verbs	2	3254
34	Fear, be afraid	יָרֵא	34	Verbs occurring 200-500 times	Verbs	2	3372
35	Go down	יָרַד	35	Verbs occurring 200-500 times	Verbs	2	3381
36	Possess, subdue	יָרַשׁ	36	Verbs occurring 200-500 times	Verbs	2	3423
37	Help, deliver (Hi.)	ישׁע	37	Verbs occurring 200-500 times	Verbs	2	3467
38	Be firm	כּוּן	38	Verbs occurring 200-500 times	Verbs	2	3559
39	cease	כָּלָה	39	Verbs occurring 200-500 times	Verbs	2	3615
40	Cut off	כָּרַת	40	Verbs occurring 200-500 times	Verbs	2	3772
41	write	כָּתַב	41	Verbs occurring 200-500 times	Verbs	2	3789
42	Be full	מָלֵא	42	Verbs occurring 200-500 times	Verbs	2	4390
43	Be king, reign	מָלַך	43	Verbs occurring 200-500 times	Verbs	2	4427
44	Find, meet	מָצָא	44	Verbs occurring 200-500 times	Verbs	2	4672
45	Make known, tell (Hi.)	נגד	45	Verbs occurring 200-500 times	Verbs	2	5046
46	Stretch out, extend	נָטָה	46	Verbs occurring 200-500 times	Verbs	2	5186
47	Smite (Hi.)	נכה	47	Verbs occurring 200-500 times	Verbs	2	5221
48	fall	נָפַל	48	Verbs occurring 200-500 times	Verbs	2	5307
