WLCverse,curr,ckind
1,c1,Verbal clauses
2,c2,Verbal clauses
2,c3,Nominal clauses
2,c4,Verbal clauses
3,c5,Verbal clauses
3,c6,Verbal clauses
3,c7,Verbal clauses
4,c10,Verbal clauses
4,c8,Verbal clauses
4,c9,Verbal clauses
5,c11,Verbal clauses
5,c12,Verbal clauses
5,c13,Verbal clauses
5,c14,Verbal clauses
5,c15,Nominal clauses
6,c16,Verbal clauses
6,c17,Verbal clauses
6,c18,Verbal clauses
7,c19,Verbal clauses
7,c20,Verbal clauses
7,c21,Nominal clauses
7,c22,Verbal clauses
7,c23,Nominal clauses
7,c24,Verbal clauses
8,c25,Verbal clauses
8,c26,Verbal clauses
8,c27,Verbal clauses
8,c28,Nominal clauses
9,c29,Verbal clauses
9,c30,Verbal clauses
9,c31,Verbal clauses
9,c32,Verbal clauses
10,c33,Verbal clauses
10,c34,Verbal clauses
10,c35,Verbal clauses
10,c36,Verbal clauses
11,c37,Verbal clauses
11,c38,Verbal clauses
11,c39,Verbal clauses
11,c40,Verbal clauses
11,c41,Verbal clauses
11,c42,Nominal clauses
11,c43,Verbal clauses
11,c44,Verbal clauses
12,c45,Verbal clauses
12,c46,Verbal clauses
12,c47,Verbal clauses
12,c48,Verbal clauses
12,c49,Nominal clauses
12,c50,Verbal clauses
12,c51,Verbal clauses
12,c52,Verbal clauses
13,c53,Verbal clauses
13,c54,Verbal clauses
13,c55,Nominal clauses
14,c56,Verbal clauses
14,c57,Verbal clauses
14,c58,Verbal clauses
14,c59,Verbal clauses
15,c60,Verbal clauses
15,c61,Verbal clauses
15,c62,Verbal clauses
16,c63,Verbal clauses
16,c64,Clauses without predication
16,c65,Clauses without predication
16,c66,Clauses without predication
17,c67,Verbal clauses
17,c68,Verbal clauses
18,c69,Verbal clauses
18,c70,Verbal clauses
18,c71,Verbal clauses
18,c72,Verbal clauses
19,c73,Verbal clauses
19,c74,Verbal clauses
19,c75,Nominal clauses
20,c76,Verbal clauses
20,c77,Verbal clauses
20,c78,Verbal clauses
21,c79,Verbal clauses
21,c80,Nominal clauses
21,c81,Verbal clauses
21,c82,Verbal clauses
21,c83,Verbal clauses
21,c84,Clauses without predication
21,c85,Verbal clauses
21,c86,Verbal clauses
22,c87,Verbal clauses
22,c88,Verbal clauses
22,c89,Verbal clauses
22,c90,Verbal clauses
22,c91,Verbal clauses
22,c92,Verbal clauses
23,c93,Verbal clauses
23,c94,Verbal clauses
23,c95,Nominal clauses
24,c96,Verbal clauses
24,c97,Verbal clauses
24,c98,Clauses without predication
24,c99,Verbal clauses
25,c100,Verbal clauses
25,c101,Clauses without predication
25,c102,Clauses without predication
25,c103,Verbal clauses
25,c104,Verbal clauses
26,c105,Verbal clauses
26,c106,Verbal clauses
26,c107,Verbal clauses
26,c108,Verbal clauses
27,c109,Verbal clauses
27,c110,Verbal clauses
27,c111,Verbal clauses
28,c112,Verbal clauses
28,c113,Verbal clauses
28,c114,Verbal clauses
28,c115,Verbal clauses
28,c116,Verbal clauses
28,c117,Verbal clauses
28,c118,Verbal clauses
28,c119,Verbal clauses
29,c120,Verbal clauses
29,c121,Verbal clauses
29,c122,Verbal clauses
29,c123,Nominal clauses
29,c124,Verbal clauses
29,c125,Nominal clauses
29,c126,Verbal clauses
29,c127,Verbal clauses
30,c128,Clauses without predication
30,c129,Nominal clauses
30,c130,Clauses without predication
30,c131,Verbal clauses
31,c132,Verbal clauses
31,c133,Verbal clauses
31,c134,Nominal clauses
31,c135,Verbal clauses
31,c136,Verbal clauses
31,c137,Nominal clauses
32,c138,Verbal clauses
33,c139,Verbal clauses
33,c140,Verbal clauses
33,c141,Verbal clauses
33,c142,Verbal clauses
34,c143,Verbal clauses
34,c144,Verbal clauses
34,c145,Verbal clauses
34,c146,Verbal clauses
34,c147,Verbal clauses
35,c148,Nominal clauses
35,c149,Verbal clauses
35,c150,Clauses without predication
35,c151,Verbal clauses
36,c152,Verbal clauses
36,c153,Verbal clauses
36,c154,Verbal clauses
36,c155,Nominal clauses
36,c156,Verbal clauses
37,c157,Verbal clauses
37,c158,Verbal clauses
38,c159,Verbal clauses
38,c160,Verbal clauses
38,c161,Verbal clauses
39,c162,Verbal clauses
39,c163,Verbal clauses
39,c164,Verbal clauses
40,c165,Verbal clauses
40,c166,Verbal clauses
40,c167,Nominal clauses
40,c168,Clauses without predication
40,c169,Clauses without predication
41,c170,Verbal clauses
41,c171,Verbal clauses
41,c172,Verbal clauses
41,c173,Verbal clauses
42,c174,Nominal clauses
42,c175,Nominal clauses
42,c176,Verbal clauses
42,c177,Nominal clauses
43,c178,Nominal clauses
43,c179,Nominal clauses
44,c180,Nominal clauses
44,c181,Nominal clauses
44,c182,Verbal clauses
45,c183,Nominal clauses
45,c184,Nominal clauses
45,c185,Verbal clauses
45,c186,Clauses without predication
45,c187,Nominal clauses
46,c188,Verbal clauses
46,c189,Verbal clauses
46,c190,Verbal clauses
46,c191,Verbal clauses
47,c192,Verbal clauses
47,c193,Verbal clauses
47,c194,Verbal clauses
48,c195,Clauses without predication
48,c196,Verbal clauses
48,c197,Verbal clauses
48,c198,Verbal clauses
48,c199,Verbal clauses
49,c200,Verbal clauses
49,c201,Nominal clauses
49,c202,Verbal clauses
49,c203,Verbal clauses
50,c204,Verbal clauses
50,c205,Verbal clauses
50,c206,Verbal clauses
50,c207,Verbal clauses
50,c208,Clauses without predication
50,c209,Verbal clauses
50,c210,Nominal clauses
51,c211,Verbal clauses
51,c212,Verbal clauses
52,c213,Verbal clauses
52,c214,Verbal clauses
52,c215,Verbal clauses
52,c216,Verbal clauses
53,c217,Verbal clauses
53,c218,Verbal clauses
53,c219,Verbal clauses
53,c220,Verbal clauses
54,c221,Verbal clauses
54,c222,Nominal clauses
54,c223,Verbal clauses
54,c224,Verbal clauses
55,c225,Verbal clauses
55,c226,Verbal clauses
55,c227,Verbal clauses
56,c228,Verbal clauses
56,c229,Verbal clauses
57,c230,Verbal clauses
57,c231,Verbal clauses
57,c232,Verbal clauses
57,c233,Verbal clauses
57,c234,Verbal clauses
58,c235,Verbal clauses
58,c236,Verbal clauses
59,c237,Clauses without predication
59,c238,Nominal clauses
59,c239,Verbal clauses
59,c240,Verbal clauses
59,c241,Verbal clauses
59,c242,Verbal clauses
60,c243,Verbal clauses
60,c244,Verbal clauses
61,c245,Verbal clauses
61,c246,Clauses without predication
61,c247,Verbal clauses
61,c248,Verbal clauses
61,c249,Verbal clauses
61,c250,Nominal clauses
62,c251,Verbal clauses
62,c252,Nominal clauses
62,c253,Nominal clauses
62,c254,Verbal clauses
62,c255,Verbal clauses
62,c256,Verbal clauses
62,c257,Verbal clauses
62,c258,Verbal clauses
62,c259,Verbal clauses
63,c260,Verbal clauses
63,c261,Verbal clauses
63,c262,Nominal clauses
63,c263,Verbal clauses
63,c264,Verbal clauses
64,c265,Verbal clauses
64,c266,Verbal clauses
64,c267,Verbal clauses
65,c268,Verbal clauses
65,c269,Verbal clauses
65,c270,Nominal clauses
66,c271,Verbal clauses
66,c272,Verbal clauses
66,c273,Verbal clauses
66,c274,Nominal clauses
66,c275,Verbal clauses
67,c276,Verbal clauses
67,c277,Verbal clauses
67,c278,Nominal clauses
67,c279,Verbal clauses
67,c280,Verbal clauses
67,c281,Verbal clauses
67,c282,Verbal clauses
68,c283,Verbal clauses
68,c284,Clauses without predication
68,c285,Verbal clauses
68,c286,Verbal clauses
68,c287,Verbal clauses
69,c288,Verbal clauses
69,c289,Verbal clauses
69,c290,Verbal clauses
69,c291,Verbal clauses
69,c292,Verbal clauses
70,c293,Verbal clauses
70,c294,Verbal clauses
70,c295,Verbal clauses
70,c296,Verbal clauses
70,c297,Verbal clauses
71,c298,Verbal clauses
71,c299,Verbal clauses
71,c300,Verbal clauses
72,c301,Verbal clauses
72,c302,Verbal clauses
72,c303,Verbal clauses
72,c304,Nominal clauses
72,c305,Verbal clauses
73,c306,Verbal clauses
73,c307,Verbal clauses
73,c308,Verbal clauses
73,c309,Verbal clauses
73,c310,Verbal clauses
73,c311,Verbal clauses
73,c312,Verbal clauses
73,c313,Verbal clauses
74,c314,Verbal clauses
74,c315,Verbal clauses
75,c316,Verbal clauses
75,c317,Verbal clauses
75,c318,Verbal clauses
75,c319,Nominal clauses
75,c320,Verbal clauses
76,c321,Verbal clauses
76,c322,Verbal clauses
77,c323,Verbal clauses
