WLCverse,curr,ctype
1,c1,x-qatal-X clause
2,c2,We-X-qatal clause
2,c3,Nominal clause
2,c4,Participle clause
3,c5,Wayyiqtol-X clause
3,c6,Zero-yiqtol-X clause
3,c7,Wayyiqtol-X clause
4,c10,Wayyiqtol-X clause
4,c8,Wayyiqtol-X clause
4,c9,x-qatal-null clause
5,c11,Wayyiqtol-X clause
5,c12,We-x-qatal-null clause
5,c13,Wayyiqtol-X clause
5,c14,Wayyiqtol-X clause
5,c15,Nominal clause
6,c16,Wayyiqtol-X clause
6,c17,Zero-yiqtol-X clause
6,c18,We-yiqtol-null clause
7,c19,Wayyiqtol-X clause
7,c20,Wayyiqtol-null clause
7,c21,Nominal clause
7,c22,Wayyiqtol-null clause
7,c23,Nominal clause
7,c24,Wayyiqtol-null clause
8,c25,Wayyiqtol-X clause
8,c26,Wayyiqtol-X clause
8,c27,Wayyiqtol-X clause
8,c28,Nominal clause
9,c29,Wayyiqtol-X clause
9,c30,Zero-yiqtol-X clause
9,c31,We-yiqtol-X clause
9,c32,Wayyiqtol-null clause
10,c33,Wayyiqtol-X clause
10,c34,We-x-qatal-null clause
10,c35,Wayyiqtol-X clause
10,c36,x-qatal-null clause
11,c37,Wayyiqtol-X clause
11,c38,Zero-yiqtol-X clause
11,c39,Participle clause
11,c40,Zero-yiqtol-X clause
11,c41,Participle clause
11,c42,Nominal clause
11,c43,Participle clause
11,c44,Wayyiqtol-null clause
12,c45,Wayyiqtol-X clause
12,c46,Participle clause
12,c47,Wayyiqtol-X clause
12,c48,Participle clause
12,c49,Nominal clause
12,c50,Participle clause
12,c51,Wayyiqtol-X clause
12,c52,x-qatal-null clause
13,c53,Wayyiqtol-X clause
13,c54,Wayyiqtol-X clause
13,c55,Nominal clause
14,c56,Wayyiqtol-X clause
14,c57,Zero-yiqtol-X clause
14,c58,Infinitive construct clause
14,c59,We-qatal-null clause
15,c60,We-qatal-null clause
15,c61,Infinitive construct clause
15,c62,Wayyiqtol-null clause
16,c63,Wayyiqtol-X clause
16,c64,Ellipsis
16,c65,Ellipsis
16,c66,Ellipsis
17,c67,Wayyiqtol-X clause
17,c68,Infinitive construct clause
18,c69,Infinitive construct clause
18,c70,Infinitive construct clause
18,c71,Wayyiqtol-X clause
18,c72,x-qatal-null clause
19,c73,Wayyiqtol-X clause
19,c74,Wayyiqtol-X clause
19,c75,Nominal clause
20,c76,Wayyiqtol-X clause
20,c77,Zero-yiqtol-X clause
20,c78,We-X-yiqtol clause
21,c79,Wayyiqtol-X clause
21,c80,Adjective clause
21,c81,Participle clause
21,c82,x-qatal-X clause
21,c83,Wayyiqtol-X clause
21,c84,Ellipsis
21,c85,Wayyiqtol-X clause
21,c86,x-qatal-null clause
22,c87,Wayyiqtol-X clause
22,c88,Infinitive construct clause
22,c89,Zero-imperative-null clause
22,c90,We-imperative-null clause
22,c91,We-imperative-null clause
22,c92,We-X-yiqtol clause
23,c93,Wayyiqtol-X clause
23,c94,Wayyiqtol-X clause
23,c95,Nominal clause
24,c96,Wayyiqtol-X clause
24,c97,Zero-yiqtol-X clause
24,c98,Ellipsis
24,c99,Wayyiqtol-null clause
25,c100,Wayyiqtol-X clause
25,c101,Ellipsis
25,c102,Ellipsis
25,c103,Wayyiqtol-X clause
25,c104,x-qatal-null clause
26,c105,Wayyiqtol-X clause
26,c106,Zero-yiqtol-null clause
26,c107,We-yiqtol-null clause
26,c108,Participle clause
27,c109,Wayyiqtol-X clause
27,c110,x-qatal-null clause
27,c111,x-qatal-null clause
28,c112,Wayyiqtol-X clause
28,c113,Wayyiqtol-X clause
28,c114,Zero-imperative-null clause
28,c115,We-imperative-null clause
28,c116,We-imperative-null clause
28,c117,We-imperative-null clause
28,c118,We-imperative-null clause
28,c119,Participle clause
29,c120,Wayyiqtol-X clause
29,c121,x-qatal-null clause
29,c122,Participle clause
29,c123,Nominal clause
29,c124,x-qatal-null clause
29,c125,Nominal clause
29,c126,Participle clause
29,c127,x-yiqtol-null clause
30,c128,Ellipsis
30,c129,Nominal clause
30,c130,Ellipsis
30,c131,Wayyiqtol-null clause
31,c132,Wayyiqtol-X clause
31,c133,x-qatal-null clause
31,c134,Adjective clause
31,c135,Wayyiqtol-X clause
31,c136,Wayyiqtol-X clause
31,c137,Nominal clause
32,c138,Wayyiqtol-X clause
33,c139,Wayyiqtol-X clause
33,c140,x-qatal-null clause
33,c141,Wayyiqtol-null clause
33,c142,x-qatal-null clause
34,c143,Wayyiqtol-X clause
34,c144,Wayyiqtol-null clause
34,c145,x-qatal-null clause
34,c146,x-qatal-X clause
34,c147,Infinitive construct clause
35,c148,Nominal clause
35,c149,Infinitive construct clause
35,c150,Casus pendens
35,c151,Infinitive construct clause
36,c152,We-X-yiqtol clause
36,c153,We-X-yiqtol clause
36,c154,x-qatal-X clause
36,c155,Nominal clause
36,c156,Infinitive construct clause
37,c157,We-X-yiqtol clause
37,c158,We-qatal-null clause
38,c159,Wayyiqtol-X clause
38,c160,Wayyiqtol-null clause
38,c161,Wayyiqtol-X clause
39,c162,Wayyiqtol-X clause
39,c163,Wayyiqtol-null clause
39,c164,x-qatal-null clause
40,c165,Wayyiqtol-X clause
40,c166,Participle clause
40,c167,Adjective clause
40,c168,Ellipsis
40,c169,Ellipsis
41,c170,Participle clause
41,c171,Infinitive construct clause
41,c172,We-x-yiqtol-null clause
41,c173,We-qatal-null clause
42,c174,Nominal clause
42,c175,Nominal clause
42,c176,Participle clause
42,c177,Nominal clause
43,c178,Adjective clause
43,c179,Nominal clause
44,c180,Nominal clause
44,c181,Nominal clause
44,c182,Participle clause
45,c183,Nominal clause
45,c184,Nominal clause
45,c185,Participle clause
45,c186,Casus pendens
45,c187,Nominal clause
46,c188,Wayyiqtol-X clause
46,c189,Wayyiqtol-null clause
46,c190,Infinitive construct clause
46,c191,Infinitive construct clause
47,c192,Wayyiqtol-X clause
47,c193,Infinitive construct clause
47,c194,x-yiqtol-null clause
48,c195,Casus pendens
48,c196,x-yiqtol-null clause
48,c197,x-yiqtol-null clause
48,c198,Infinitive construct clause
48,c199,x-yiqtol-null clause
49,c200,Wayyiqtol-X clause
49,c201,Adjective clause
49,c202,Infinitive construct clause
49,c203,Zero-yiqtol-null clause
50,c204,Wayyiqtol-X clause
50,c205,Wayyiqtol-null clause
50,c206,Infinitive construct clause
50,c207,x-yiqtol-null clause
50,c208,Casus pendens
50,c209,x-yiqtol-X clause
50,c210,Nominal clause
51,c211,Wayyiqtol-X clause
51,c212,We-x-qatal-null clause
52,c213,Wayyiqtol-X clause
52,c214,Wayyiqtol-null clause
52,c215,Wayyiqtol-null clause
52,c216,Wayyiqtol-null clause
53,c217,Wayyiqtol-X clause
53,c218,x-qatal-null clause
53,c219,Wayyiqtol-X clause
53,c220,Wayyiqtol-null clause
54,c221,Wayyiqtol-X clause
54,c222,Nominal clause
54,c223,x-yiqtol-null clause
54,c224,x-qatal-X clause
55,c225,x-yiqtol-X clause
55,c226,We-qatal-null clause
55,c227,We-qatal-null clause
56,c228,Wayyiqtol-X clause
56,c229,We-x-yiqtol-null clause
57,c230,We-X-qatal clause
57,c231,x-qatal-X clause
57,c232,Wayyiqtol-null clause
57,c233,x-qatal-X clause
57,c234,x-yiqtol-null clause
58,c235,Wayyiqtol-X clause
58,c236,x-yiqtol-null clause
59,c237,Casus pendens
59,c238,Nominal clause
59,c239,Zero-qatal-X clause
59,c240,x-yiqtol-null clause
59,c241,We-x-yiqtol-null clause
59,c242,x-yiqtol-null clause
60,c243,Wayyiqtol-X clause
60,c244,x-yiqtol-null clause
61,c245,Participle clause
61,c246,Casus pendens
61,c247,Infinitive construct clause
61,c248,We-qatal-X clause
61,c249,We-qatal-null clause
61,c250,Nominal clause
62,c251,Wayyiqtol-X clause
62,c252,Adjective clause
62,c253,Nominal clause
62,c254,Participle clause
62,c255,Infinitive construct clause
62,c256,Wayyiqtol-null clause
62,c257,Wayyiqtol-null clause
