full,short
singular,sg
masculine,m
unknown,u
verb,verb
pronominal suffix,prs
third person,p3
plural,pl
feminine,f
absolute,a
second person,p2
first person,p1
qal,qal
noun,subs
imperfect,impf
perfect,perf
participle,ptca
pi“el,piel
hif‘il,hif
wayyiqtol,wayq
construct,c
infinitive (construct),infc
participle (passive),ptcp
nif‘al,nif
adjective,adjv
imperative,impv
hitpa“el,hit
pe‘al,peal
preposition,prep
hof‘al,hof
haf‘el,haf
pu“al,pual
adverb,advb
dual,du
pa“el,pael
hishtaf‘al,hsht
infinitive (absolute),infa
hitpe‘el,htpe
emphatic,e
negative particle,nega
shaf‘el,shaf
hitpa“al,htpa
personal pronoun,prps
interjection,intj
demonstrative pronoun,prde
conjunction,conj
po“el,poel
interrogative particle,inrg
tif‘al,tif
etpa“al,etpa
proper noun,nmpr
pe‘il,peil
af‘el,afel
hitpo“el,htpo
hotpa“al,hotp
po“al,poal
passiveqal,pasq
etpe‘el,etpe
nitpa“el,nit
article,art
interrogative pronoun,prin
