key,value
M0001,"<span title=""злучнік"">злчн</span>"
M0002,"<span title=""прыназоўнік"">прнз</span>"
M0003,"<span title=""артыкль"">а</span>"
M0004,"<span title=""назоўнік"">н</span>, <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""адзіночны лік"">л<sup>1</sup></span>, <span title=""абсалютны стан"">|ст|</span>"
M0005,"<span title=""імя ўласнае"">іў</span>, <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""адзіночны лік"">л<sup>1</sup></span>, <span title=""абсалютны стан"">|ст|</span>"
M0006,"<span title=""назоўнік"">н</span>, <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""адзіночны лік"">л<sup>1</sup></span>, <span title=""дапасаваны стан"">ст<sup>→</sup></span>"
M0007,"<span title=""назоўнік"">н</span>, <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""множны лік"">л<sup>&gt;</sup></span>, <span title=""абсалютны стан"">|ст|</span>"
M0008,"<span title=""імя ўласнае"">іў</span>,  , <span title=""адзіночны лік"">л<sup>1</sup></span>, <span title=""абсалютны стан"">|ст|</span>"
M0009,"<span title=""назоўнік"">н</span>, <span title=""жаночы род"">р<sup>ж</sup></span>, <span title=""адзіночны лік"">л<sup>1</sup></span>, <span title=""абсалютны стан"">|ст|</span>"
M0010,"<span title=""назоўнік"">н</span>, <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""множны лік"">л<sup>&gt;</sup></span>, <span title=""дапасаваны стан"">ст<sup>→</sup></span>"
M0011,"<span title=""дзеялоў"">дз</span>, каль, <span title=""паслядоўнае закончанае трыванне"">тр<sup>&з</sup></span>, <span title=""трэцяя асоба""><sup>3а</sup></span>, <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""адзіночны лік"">л<sup>1</sup></span>"
M0012,"<span title=""назоўнік"">н</span>,  , <span title=""адзіночны лік"">л<sup>1</sup></span>, <span title=""абсалютны стан"">|ст|</span>"
M0013,"<span title=""адмоўная часціца"">ч<sup>а</sup></span>"
M0014,"<span title=""дзеялоў"">дз</span>, каль, <span title=""закончанае трыванне"">тр<sup>з</sup></span>, <span title=""трэцяя асоба""><sup>3а</sup></span>, <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""адзіночны лік"">л<sup>1</sup></span>"
M0015,"<span title=""прыслоўе"">прсл</span>"
M0016,"<span title=""назоўнік"">н</span>, <span title=""жаночы род"">р<sup>ж</sup></span>, <span title=""адзіночны лік"">л<sup>1</sup></span>, <span title=""дапасаваны стан"">ст<sup>→</sup></span>"
M0017,"<span title=""прыназоўнік"">прнз</span>, <span title=""займенны суфікс"">зс</span>, <span title=""трэцяя асоба""><sup>3а</sup></span>, <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""адзіночны лік"">л<sup>1</sup></span>"
M0018,"<span title=""назоўнік"">н</span>, <span title=""жаночы род"">р<sup>ж</sup></span>, <span title=""множны лік"">л<sup>&gt;</sup></span>, <span title=""абсалютны стан"">|ст|</span>"
M0019,"<span title=""назоўнік"">н</span>, <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""адзіночны лік"">л<sup>1</sup></span>, <span title=""абсалютны стан"">|ст|</span>, <span title=""займенны суфікс"">зс</span>, <span title=""трэцяя асоба""><sup>3а</sup></span>, <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""адзіночны лік"">л<sup>1</sup></span>"
M0020,"<span title=""дзеялоў"">дз</span>, каль, <span title=""незакончанае трыванне"">тр<sup>нз</sup></span>, <span title=""трэцяя асоба""><sup>3а</sup></span>, <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""адзіночны лік"">л<sup>1</sup></span>"
M0021,"<span title=""назоўнік"">н</span>,  , <span title=""адзіночны лік"">л<sup>1</sup></span>, <span title=""дапасаваны стан"">ст<sup>→</sup></span>"
M0022,"<span title=""дзеялоў"">дз</span>, каль, <span title=""закончанае трыванне"">тр<sup>з</sup></span>, <span title=""трэцяя асоба""><sup>3а</sup></span>,  , <span title=""множны лік"">л<sup>&gt;</sup></span>"
M0023,"<span title=""дзеялоў"">дз</span>, каль, <span title=""дапасаваны інфінітыў"">∞<sup>→</sup></span>,  ,  ,  , <span title=""абсалютны стан"">|ст|</span>"
M0024,"<span title=""прыметнік"">п</span>, <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""адзіночны лік"">л<sup>1</sup></span>, <span title=""абсалютны стан"">|ст|</span>"
M0025,"<span title=""дзеялоў"">дз</span>, каль, <span title=""паслядоўнае закончанае трыванне"">тр<sup>&з</sup></span>, <span title=""трэцяя асоба""><sup>3а</sup></span>, <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""множны лік"">л<sup>&gt;</sup></span>"
M0026,"<span title=""прыназоўнік"">прнз</span>, <span title=""займенны суфікс"">зс</span>, <span title=""трэцяя асоба""><sup>3а</sup></span>, <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""множны лік"">л<sup>&gt;</sup></span>"
M0027,"<span title=""назоўнік"">н</span>, <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""адзіночны лік"">л<sup>1</sup></span>, <span title=""абсалютны стан"">|ст|</span>, <span title=""займенны суфікс"">зс</span>, <span title=""першая асоба""><sup>1а</sup></span>,  , <span title=""адзіночны лік"">л<sup>1</sup></span>"
M0028,"<span title=""назоўнік"">н</span>, <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""множны лік"">л<sup>&gt;</sup></span>, <span title=""абсалютны стан"">|ст|</span>, <span title=""займенны суфікс"">зс</span>, <span title=""трэцяя асоба""><sup>3а</sup></span>, <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""адзіночны лік"">л<sup>1</sup></span>"
M0029,"<span title=""дзеялоў"">дз</span>, каль, <span title=""дзеепрыметнік"">дзп</span>,  , <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""адзіночны лік"">л<sup>1</sup></span>, <span title=""абсалютны стан"">|ст|</span>"
M0030,"<span title=""дзеялоў"">дз</span>, каль, <span title=""незакончанае трыванне"">тр<sup>нз</sup></span>, <span title=""трэцяя асоба""><sup>3а</sup></span>, <span title=""мужчынскі род"">р<sup>м</sup></span>, <span title=""множны лік"">л<sup>&gt;</sup></span>"
