key	morphologyDetail
M0001	conjunction
M0002	preposition
M0003	article
M0004	noun, masculine, singular, absolute
M0005	proper noun, masculine, singular, absolute
M0006	noun, masculine, singular, construct
M0007	noun, masculine, plural, absolute
M0008	proper noun, unknown, singular, absolute
M0009	noun, feminine, singular, absolute
M0010	noun, masculine, plural, construct
M0011	verb, qal, wayyiqtol, third person, masculine, singular
M0012	noun, unknown, singular, absolute
M0013	negative particle
M0014	verb, qal, perfect, third person, masculine, singular
M0015	adverb
M0016	noun, feminine, singular, construct
M0017	preposition, pronominal suffix, third person, masculine, singular
M0018	noun, feminine, plural, absolute
M0019	noun, masculine, singular, absolute, pronominal suffix, third person, masculine, singular
M0020	verb, qal, imperfect, third person, masculine, singular
M0021	noun, unknown, singular, construct
M0022	verb, qal, perfect, third person, unknown, plural
M0023	verb, qal, infinitive (construct), unknown, unknown, unknown, absolute
M0024	adjective, masculine, singular, absolute
M0025	verb, qal, wayyiqtol, third person, masculine, plural
M0026	preposition, pronominal suffix, third person, masculine, plural
M0027	noun, masculine, singular, absolute, pronominal suffix, first person, unknown, singular
M0028	noun, masculine, plural, absolute, pronominal suffix, third person, masculine, singular
M0029	verb, qal, participle, unknown, masculine, singular, absolute
M0030	verb, qal, imperfect, third person, masculine, plural
M0031	noun, masculine, singular, absolute, pronominal suffix, second person, masculine, singular
M0032	verb, qal, perfect, first person, unknown, singular
M0033	interjection
M0034	preposition, pronominal suffix, second person, masculine, singular
M0035	verb, qal, imperative, second person, masculine, singular
M0036	noun, feminine, singular, absolute, pronominal suffix, third person, masculine, singular
M0037	verb, qal, perfect, second person, masculine, singular
M0038	preposition, pronominal suffix, first person, unknown, singular
M0039	interrogative particle
M0040	noun, feminine, plural, construct
M0041	verb, qal, imperfect, second person, masculine, singular
M0042	noun, masculine, plural, absolute, pronominal suffix, second person, masculine, singular
M0043	personal pronoun, first person, unknown, singular
M0044	demonstrative pronoun, masculine, singular
M0045	preposition, pronominal suffix, second person, masculine, plural
M0046	verb, qal, imperfect, first person, unknown, singular
M0047	adverb, masculine, singular, absolute
M0048	noun, masculine, plural, absolute, pronominal suffix, third person, masculine, plural
M0049	personal pronoun, third person, masculine, singular
M0050	verb, qal, imperative, second person, masculine, plural
M0051	preposition, pronominal suffix, third person, feminine, singular
M0052	verb, hif‘il, perfect, third person, masculine, singular
