full,short
singular,<span title="адзіночны лік">л<sup>1</sup></span>
plural,<span title="множны лік">л<sup>&gt;</sup></span>
dual,<span title="парны лік">л<sup>2</sup></span>
masculine,<span title="мужчынскі род">р<sup>м</sup></span>
feminine,<span title="жаночы род">р<sup>ж</sup></span>
unknown, 
pronominal suffix,<span title="займенны суфікс">зс</span>
first person,<span title="першая асоба"><sup>1а</sup></span>
second person,<span title="другая асоба"><sup>2а</sup></span>
third person,<span title="трэцяя асоба"><sup>3а</sup></span>
absolute,<span title="абсалютны стан">|ст|</span>
construct,<span title="дапасаваны стан">ст<sup>→</sup></span>
noun,<span title="назоўнік">н</span>
verb,<span title="дзеялоў">дз</span>
adjective,<span title="прыметнік">п</span>
proper noun,<span title="імя ўласнае">іў</span>
article,<span title="артыкль">а</span>
interrogative pronoun,<span title="пытальны займеннік">з<sup>?</sup></span>
personal pronoun,<span title="асабісты займеннік">з<sup>а</sup></span>
demonstrative pronoun,<span title="указальны займеннік">з<sup>у</sup></span>
preposition,<span title="прыназоўнік">прнз</span>
adverb,<span title="прыслоўе">прсл</span>
participle,<span title="дзеепрыметнік">дзп</span>
participle (passive),<span title="дзеепрыметнік">дзп<sup>—1</sup></span>
interrogative particle,<span title="пытальная часціца">ч<sup>п</sup></span>
negative particle,<span title="адмоўная часціца">ч<sup>а</sup></span>
interjection,<span title="выклічнік">вклч</span>
conjunction,<span title="злучнік">злчн</span>
imperfect,<span title="незакончанае трыванне">тр<sup>нз</sup></span>
perfect,<span title="закончанае трыванне">тр<sup>з</sup></span>
wayyiqtol,<span title="паслядоўнае закончанае трыванне">тр<sup>&з</sup></span>
infinitive (construct),<span title="дапасаваны інфінітыў">∞<sup>→</sup></span>
infinitive (absolute),<span title="абсалютны інфінітыў">|∞|</span>
imperative,<span title="загадны лад">л<sup>!</sup></span>
qal,каль
pi“el,піэль
hif‘il,гіф’іль
nif‘al,ніф’аль
hitpa“el,гітпаэль
pe‘al,пэаль
hof‘al,гоф’аль
haf‘el,гаф’эль
pu“al,пуаль
pa“el,паэль
hishtaf‘al,гіштаф’аль
hitpe‘el,гітпээль
shaf‘el,шаф’эль
hitpa“al,гітпааль
po“el,поэль
tif‘al,тыф’аль
etpa“al,эьпааль
pe‘il,пэіль
af‘el,аф’эль
hitpo“el,гітпоэль
hotpa“al,готпааль
po“al,поаль
passiveqal,пасіў.каль
etpe‘el,этпээль
nitpa“el,нітпаэль
emphatic,эмф.
